,1.03150932862
0,1.44755225695
1,0.224455411571
2,0.0167349533093
3,1.64848737215
4,0.0249536768333
5,0.622833850476
6,0.6217986092769999
7,1.25749706473
8,0.445872004364
9,0.0606074095648
10,2.26073066469
11,0.305622990198
12,1.80230234509
13,1.00458882971
14,0.650182871327
15,1.3875609924
16,1.60867544072
17,0.8751664080279999
18,0.210632800793
19,0.556747957147
20,0.40545391157099997
21,0.47605894445200003
22,0.25635952250300004
23,0.0939237839648
24,0.461992993574
25,1.7546852809599998
26,0.784152446303
27,0.40310959269900004
28,0.392545835159
29,0.0966061832697
30,1.53424661581
31,1.3360149860400001
32,0.648342075685
33,0.5357872714949999
34,1.78281782844
35,3.4782455086699997
36,0.9743038274339999
37,0.0798198195901
38,0.34415029511
39,0.8179183869230001
40,1.8308395420599997
41,1.7672664115799999
42,0.40022085346
43,0.987012764632
44,0.6573705897909999
45,2.8494622946200003
46,0.6318952114940001
47,1.08505912885
48,0.382464089539
49,1.0755985902299998
50,2.57379628095
51,0.5441521538930001
52,5.87564481242
53,3.1058838181299997
54,0.528553254825
55,0.027098719125200003
56,1.08919295552
57,0.05891274383930001
58,0.561031698154
59,0.776815433943
60,1.35701178379
61,0.7158264653309999
62,0.36668367135499996
63,2.3741815579099996
64,0.17012699830400002
65,0.644941346189
66,2.7373861793299996
67,2.2127240286900003
68,0.6954108741859999
69,0.22639350036400002
70,0.0164896892143
71,2.16709077128
72,0.0223263977929
73,0.8020300312340001
74,0.075489284339
75,0.08105398393539999
76,0.0738774066815
77,0.941605349182
78,0.217584296454
79,0.0275537740006
80,0.5768784831
81,0.43937953211099995
82,1.7747937301199999
83,0.266056211574
84,0.08786593583560001
85,1.03853248332
86,0.26440256605900003
87,1.13945040089
88,0.320812034777
89,0.630678729412
90,0.537037647534
91,0.636666613545
92,0.683156109038
93,0.331844606473
94,0.322139443767
95,1.43351470221
96,1.1466790397799997
97,1.3692859788999998
98,1.8505343236000003
99,0.714426005969
100,1.18089163403
101,3.2351182710799997
102,0.490735818726
103,0.67799455382
104,1.729318065
105,0.280093562608
106,0.299906351421
107,1.28711672051
108,1.69248267544
109,2.22182816194
110,1.70371613751
111,0.212508568138
112,2.23625227796
113,0.619919976285
114,0.322480951895
115,0.236165260409
116,0.420326305962
117,0.574790747714
118,0.949040919951
119,0.04105187699980001
120,1.24355741816
121,0.991362079131
122,0.781820352415
123,0.252898760671
124,2.05004916471
125,1.75040653387
126,0.365369555932
127,0.655609406922
128,1.1102721634700001
129,0.74086648566
130,3.7442365360400003
131,1.6800066165399998
132,2.27763110836
133,0.042365252816500006
134,0.04470535781880001
135,0.8499716097679999
136,1.8627601488900003
137,5.2617124442300005
138,1.16059116732
139,0.455854351422
140,0.944470541518
141,2.16587206125
142,1.39587308894
143,1.34479834119
144,0.829828735104
145,0.589980354541
146,3.0937386448299997
147,1.61545709879
148,0.9022050609190001
149,0.7787588217970001
150,1.39383091843
151,0.560570514422
152,0.07174474601860001
153,1.95785220941
154,0.139292647987
155,2.75338185584
156,2.00511963513
157,0.507209845797
158,0.368846961379
159,0.584395117205
160,0.128132018373
161,0.517005258813
162,1.2143404904200001
163,0.30300756659600003
164,0.586840690576
165,1.8150289798199999
